Round,Retry Index,Algorithm,Attention Mechanism,Learning Rate,Gamma,Model File,Training File,Test File,Self-eval,Tool Usage %,Lambda,Threshold Violations,T_wt,t_FR,Eval_Score
1,1,PPO,Multi-Head,0.0001,0.99,PPO_MH_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_01,Y,95.0067,-178,0,874,792.0,0.7876650789473685
1,1,PPO,Multi-Head,0.0001,0.99,PPO_MH_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_03,N,95.24978312684365,-20,0,864,851.0,0.9551962840552708
1,1,PPO,Multi-Head,0.0001,0.99,PPO_MH_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_04,N,95.241374,-40,0,922,888.0,0.9341016068421051
1,1,PPO,Multi-Head,0.0001,0.99,PPO_MH_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_06,N,95.329766,-40,0,845,808.0,0.9345435668421052
1,1,PPO,Multi-Head,0.0001,0.99,PPO_MH_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_08,N,95.05450863095368,-150,0,850,564.0,0.8173778063126631
1,1,PPO,Self-Attention,0.0001,0.99,PPO_SA_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_01,Y,95.0067,-180,0,874,794.0,0.7855598157894736
1,1,PPO,Self-Attention,0.0001,0.99,PPO_SA_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_03,N,51.23620356542088,901,37,864,,0.26144417572184125
1,1,PPO,Self-Attention,0.0001,0.99,PPO_SA_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_04,N,95.241374,-40,0,922,888.0,0.9341016068421051
1,1,PPO,Self-Attention,0.0001,0.99,PPO_SA_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_06,N,95.329766,-40,0,845,808.0,0.9345435668421052
1,1,PPO,Self-Attention,0.0001,0.99,PPO_SA_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_08,N,51.23620356542088,1008,158,850,,0.2574388794623245
1,1,REINFORCE,Nadaraya-Watson,0.0001,0.99,REINFORCE_NW_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_01,Y,95.0067,-178,0,874,792.0,0.7876650789473685
1,1,REINFORCE,Nadaraya-Watson,0.0001,0.99,REINFORCE_NW_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_03,N,95.24978312684365,-20,0,864,851.0,0.9551962840552708
1,1,REINFORCE,Nadaraya-Watson,0.0001,0.99,REINFORCE_NW_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_04,N,95.241374,-38,0,922,886.0,0.9362068699999999
1,1,REINFORCE,Nadaraya-Watson,0.0001,0.99,REINFORCE_NW_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_06,N,95.329766,-39,0,845,807.0,0.9355961984210526
1,1,REINFORCE,Nadaraya-Watson,0.0001,0.99,REINFORCE_NW_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_08,N,95.05450863095368,-150,0,850,564.0,0.8173778063126631
1,1,REINFORCE,Temporal,0.0001,0.99,REINFORCE_TP_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_01,Y,95.209728,-187,0,874,801.0,0.7792065347368422
1,1,REINFORCE,Temporal,0.0001,0.99,REINFORCE_TP_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_03,N,95.24978312684365,-20,0,864,851.0,0.9551962840552708
1,1,REINFORCE,Temporal,0.0001,0.99,REINFORCE_TP_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_04,N,96.11889866666667,-45,0,922,893.0,0.9332260722807018
1,1,REINFORCE,Temporal,0.0001,0.99,REINFORCE_TP_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_06,N,96.62831433333335,-49,0,845,817.0,0.9315626242982455
1,1,REINFORCE,Temporal,0.0001,0.99,REINFORCE_TP_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_08,N,95.00985632538067,-149,0,850,563.0,0.8182071763637455
1,1,REINFORCE,Multi-Head,0.0001,0.99,REINFORCE_MH_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_01,Y,97.125249,-216,0,874,830.0,0.7582578239473683
1,1,REINFORCE,Multi-Head,0.0001,0.99,REINFORCE_MH_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_03,N,95.24978312684365,-20,0,864,851.0,0.9551962840552708
1,1,REINFORCE,Multi-Head,0.0001,0.99,REINFORCE_MH_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_04,N,95.241374,-38,0,922,886.0,0.9362068699999999
1,1,REINFORCE,Multi-Head,0.0001,0.99,REINFORCE_MH_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_06,N,95.329766,-41,0,845,809.0,0.933490935263158
1,1,REINFORCE,Multi-Head,0.0001,0.99,REINFORCE_MH_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_08,N,95.05450863095368,-150,0,850,564.0,0.8173778063126631
1,1,REINFORCE,Self-Attention,0.0001,0.99,REINFORCE_SA_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_01,Y,95.0067,-180,0,874,794.0,0.7855598157894736
1,1,REINFORCE,Self-Attention,0.0001,0.99,REINFORCE_SA_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_03,N,95.84408165191734,-22,0,864,853.0,0.9560625135227445
1,1,REINFORCE,Self-Attention,0.0001,0.99,REINFORCE_SA_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_04,N,95.241374,-38,0,922,886.0,0.9362068699999999
1,1,REINFORCE,Self-Attention,0.0001,0.99,REINFORCE_SA_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_06,N,95.329766,-40,0,845,808.0,0.9345435668421052
1,1,REINFORCE,Self-Attention,0.0001,0.99,REINFORCE_SA_IEEE_01_500_1e-04_99_12-03-15-11,IEEE_01,IEEE_08,N,95.00985632538067,-149,0,850,563.0,0.8182071763637455
1,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_01,N,95.84670466666667,-196,0,874,810.0,0.7729177338596491
1,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_03,Y,51.23620356542088,901,37,864,,0.26144417572184125
1,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_04,N,95.241374,-39,0,922,887.0,0.9351542384210525
1,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_06,N,95.329766,-41,0,845,809.0,0.933490935263158
1,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_08,N,51.23620356542088,1008,158,850,,0.2574388794623245
1,1,A2C,Temporal,0.0001,0.99,A2C_TP_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_01,N,51.23620356542088,1022,148,874,,0.257523299706299
1,1,A2C,Temporal,0.0001,0.99,A2C_TP_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_03,Y,51.23620356542088,901,37,864,,0.26144417572184125
1,1,A2C,Temporal,0.0001,0.99,A2C_TP_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_04,N,51.23620356542088,1008,86,922,,0.258479868401817
1,1,A2C,Temporal,0.0001,0.99,A2C_TP_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_06,N,51.23620356542088,1020,175,845,,0.25731738146346805
1,1,A2C,Temporal,0.0001,0.99,A2C_TP_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_08,N,51.23620356542088,1008,158,850,,0.2574388794623245
1,1,A2C,Multi-Head,0.0001,0.99,A2C_MH_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_01,N,97.125249,-216,0,874,830.0,0.7582578239473683
1,1,A2C,Multi-Head,0.0001,0.99,A2C_MH_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_03,Y,51.23620356542088,901,37,864,,0.26144417572184125
1,1,A2C,Multi-Head,0.0001,0.99,A2C_MH_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_04,N,95.241374,-39,0,922,887.0,0.9351542384210525
1,1,A2C,Multi-Head,0.0001,0.99,A2C_MH_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_06,N,95.329766,-39,0,845,807.0,0.9355961984210526
1,1,A2C,Multi-Head,0.0001,0.99,A2C_MH_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_08,N,51.23620356542088,1008,158,850,,0.2574388794623245
1,1,A2C,Self-Attention,0.0001,0.99,A2C_SA_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_01,N,98.39615900000001,-234,0,874,848.0,0.7456650055263159
1,1,A2C,Self-Attention,0.0001,0.99,A2C_SA_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_03,Y,51.23620356542088,901,37,864,,0.26144417572184125
1,1,A2C,Self-Attention,0.0001,0.99,A2C_SA_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_04,N,51.23620356542088,1008,86,922,,0.258479868401817
1,1,A2C,Self-Attention,0.0001,0.99,A2C_SA_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_06,N,51.23620356542088,1020,175,845,,0.25731738146346805
1,1,A2C,Self-Attention,0.0001,0.99,A2C_SA_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_08,N,51.23620356542088,1008,158,850,,0.2574388794623245
1,1,DQN,Nadaraya-Watson,0.0001,0.99,DQN_NW_IEEE_03_500_1e-04_99_12-03-15-11,IEEE_03,IEEE_01,N,51.23620356542088,1022,148,874,,0.257523299706299
